"Id","Category"
1,7
2,3
3,2
4,10
5,4
6,5
7,4
8,3
9,2
10,9
11,7
12,1
13,8
14,1
15,7
16,8
17,5
18,2
19,9
20,9
21,3
22,2
23,2
24,5
25,3
26,6
27,2
28,6
29,10
30,3
31,7
32,9
33,1
34,6
35,4
36,1
37,2
38,10
39,7
40,9
41,5
42,10
43,1
44,1
45,7
46,2
47,3
48,8
49,2
50,3
51,5
52,10
53,3
54,8
55,4
56,7
57,9
58,7
59,9
60,2
61,7
62,7
63,7
64,9
65,8
66,6
67,10
68,3
69,2
70,6
71,4
72,10
73,3
74,10
75,9
76,6
77,2
78,4
79,1
80,9
81,3
82,1
83,9
84,10
85,6
86,6
87,6
88,6
89,5
90,1
91,5
92,9
93,9
94,2
95,7
96,10
97,7
98,7
99,10
100,4
101,5
102,9
103,7
104,7
105,5
106,8
107,7
108,5
109,9
110,9
111,3
112,8
113,6
114,10
115,5
116,2
117,4
118,8
119,2
120,2
121,3
122,3
123,3
124,1
125,5
126,1
127,3
128,7
129,2
130,5
131,8
132,2
133,4
134,5
135,8
136,3
137,8
138,8
139,2
140,10
141,4
142,2
143,1
144,7
145,3
146,2
147,4
148,6
149,10
150,2
151,1
152,1
153,3
154,7
155,5
156,1
157,8
158,5
159,8
160,2
161,2
162,8
163,3
164,3
165,2
166,9
167,2
168,1
169,1
170,7
171,5
172,5
173,4
174,8
175,10
176,3
177,5
178,3
179,4
180,3
181,2
182,4
183,4
184,9
185,8
186,9
187,10
188,9
189,6
190,7
191,5
192,8
193,2
194,3
195,9
196,4
197,9
198,1
199,8
200,3
201,10
202,1
203,2
204,3
205,10
206,5
207,7
208,5
209,7
210,7
211,9
212,6
213,5
214,5
215,6
216,8
217,7
218,9
219,6
220,4
221,2
222,9
223,8
224,3
225,1
226,5
227,4
228,9
229,10
230,3
231,3
232,6
233,7
234,8
235,5
236,7
237,5
238,9
239,8
240,9
241,2
242,9
243,6
244,2
245,10
246,10
247,1
248,7
249,2
250,6
251,9
252,7
253,1
254,2
255,4
256,9
257,9
258,5
259,6
260,7
261,7
262,7
263,6
264,5
265,1
266,1
267,5
268,2
269,4
270,3
271,8
272,7
273,4
274,3
275,1
276,8
277,2
278,6
279,6
280,2
281,1
282,4
283,10
284,9
285,5
286,2
287,4
288,6
289,7
290,7
291,2
292,2
293,7
294,10
295,2
296,6
297,4
298,2
299,1
300,4
301,5
302,10
303,1
304,5
305,3
306,10
307,10
308,1
309,1
310,4
311,6
312,5
313,9
314,3
315,2
316,7
317,1
318,7
319,6
320,1
321,1
322,10
323,2
324,10
325,8
326,5
327,5
328,1
329,10
330,7
331,8
332,8
333,4
334,6
335,9
336,6
337,1
338,2
339,8
340,9
341,6
342,10
343,4
344,2
345,3
346,6
347,3
348,7
349,10
350,3
351,1
352,3
353,8
354,4
355,5
356,2
357,7
358,10
359,8
360,5
361,5
362,9
363,6
364,8
365,10
366,1
367,9
368,8
369,1
370,5
371,6
372,5
373,10
374,7
375,5
376,7
377,5
378,7
379,5
380,7
381,6
382,7
383,9
384,8
385,1
386,5
387,6
388,1
389,1
390,3
391,8
392,8
393,1
394,2
395,9
396,10
397,2
398,5
399,7
400,3
401,3
402,4
403,5
404,9
405,1
406,4
407,6
408,1
409,7
410,4
411,6
412,7
413,7
414,3
415,9
416,6
417,9
418,9
419,8
420,1
421,6
422,10
423,6
424,9
425,8
426,1
427,3
428,8
429,2
430,8
431,2
432,1
433,5
434,1
435,3
436,7
437,6
438,5
439,1
440,6
441,6
442,10
443,1
444,6
445,7
446,6
447,3
448,10
449,8
450,5
451,6
452,5
453,5
454,9
455,6
456,10
457,6
458,6
459,5
460,1
461,7
462,7
463,9
464,8
465,6
466,7
467,9
468,1
469,10
470,10
471,4
472,9
473,5
474,2
475,7
476,7
477,6
478,1
479,9
480,4
481,1
482,1
483,4
484,6
485,2
486,3
487,6
488,8
489,10
490,3
491,9
492,1
493,1
494,9
495,5
496,7
497,9
498,7
499,3
500,6
501,8
502,6
503,8
504,4
505,8
506,1
507,1
508,5
509,4
510,9
511,6
512,6
513,8
514,7
515,6
516,7
517,5
518,8
519,6
520,7
521,6
522,1
523,7
524,3
525,5
526,8
527,10
528,10
529,2
530,5
531,10
532,9
533,6
534,1
535,7
536,10
537,3
538,2
539,5
540,3
541,9
542,1
543,2
544,5
545,4
546,9
547,2
548,6
549,9
550,6
551,7
552,6
553,8
554,4
555,4
556,5
557,1
558,1
559,9
560,3
561,3
562,9
563,4
564,6
565,4
566,2
567,4
568,8
569,2
570,10
571,8
572,8
573,6
574,1
575,3
576,4
577,1
578,5
579,10
580,1
581,2
582,3
583,6
584,3
585,6
586,6
587,10
588,10
589,1
590,5
591,10
592,9
593,6
594,1
595,5
596,7
597,2
598,9
599,6
600,8
601,4
602,9
603,6
604,6
605,2
606,7
607,2
608,5
609,4
610,5
611,3
612,3
613,2
614,4
615,9
616,7
617,8
618,5
619,1
620,3
621,6
622,2
623,3
624,1
625,4
626,10
627,5
628,8
629,6
630,7
631,5
632,3
633,10
634,2
635,7
636,4
637,9
638,10
639,8
640,4
641,5
642,7
643,2
644,7
645,3
646,8
647,6
648,3
649,9
650,2
651,9
652,9
653,9
654,7
655,10
656,6
657,4
658,8
659,10
660,1
661,10
662,10
663,8
664,2
665,1
666,7
667,4
668,9
669,4
670,9
671,4
672,10
673,1
674,4
675,4
676,8
677,7
678,1
679,6
680,8
681,6
682,2
683,4
684,8
685,9
686,7
687,10
688,9
689,3
690,5
691,10
692,10
693,2
694,3
695,2
696,7
697,8
698,2
699,3
700,3
701,2
702,7
703,5
704,3
705,10
706,8
707,1
708,9
709,9
710,2
711,8
712,7
713,9
714,9
715,10
716,1
717,3
718,1
719,9
720,9
721,6
722,10
723,3
724,3
725,8
726,5
727,6
728,9
729,2
730,2
731,6
732,10
733,7
734,3
735,7
736,1
737,7
738,5
739,1
740,1
741,10
742,6
743,8
744,7
745,1
746,8
747,2
748,5
749,2
750,1
751,4
752,2
753,4
754,2
755,4
756,7
757,4
758,8
759,1
760,9
761,1
762,7
763,10
764,6
765,7
766,4
767,3
768,3
769,7
770,8
771,9
772,6
773,9
774,9
775,8
776,10
777,6
778,7
779,3
780,3
781,4
782,8
783,3
784,7
785,6
786,10
787,3
788,3
789,9
790,9
791,5
792,2
793,5
794,10
795,10
796,3
797,8
798,5
799,1
800,10
801,1
802,3
