"Id","Category"
1,8
2,3
3,10
4,10
5,7
6,8
7,6
8,4
9,10
10,10
11,9
12,1
13,8
14,1
15,7
16,3
17,8
18,9
19,10
20,1
21,5
22,9
23,10
24,7
25,3
26,10
27,10
28,3
29,8
30,4
31,4
32,2
33,9
34,4
35,10
36,5
37,2
38,10
39,7
40,1
41,7
42,10
43,1
44,9
45,9
46,4
47,1
48,8
49,2
50,6
51,3
52,4
53,5
54,7
55,1
56,4
57,1
58,3
59,1
60,2
61,7
62,8
63,4
64,2
65,8
66,8
67,7
68,1
69,9
70,7
71,9
72,10
73,2
74,10
75,3
76,6
77,8
78,6
79,1
80,1
81,10
82,1
83,2
84,10
85,4
86,4
87,7
88,4
89,6
90,9
91,7
92,9
93,4
94,10
95,7
96,10
97,5
98,7
99,10
100,6
101,7
102,4
103,3
104,6
105,5
106,5
107,3
108,5
109,9
110,9
111,8
112,4
113,6
114,9
115,5
116,9
117,8
118,5
119,10
120,8
121,8
122,6
123,8
124,8
125,1
126,1
127,6
128,7
129,2
130,8
131,5
132,4
133,2
134,5
135,8
136,7
137,5
138,8
139,2
140,10
141,6
142,2
143,4
144,3
145,3
146,8
147,6
148,3
149,10
150,2
151,9
152,6
153,1
154,7
155,3
156,2
157,10
158,8
159,6
160,2
161,5
162,4
163,5
164,9
165,6
166,2
167,2
168,1
169,1
170,7
171,3
172,8
173,7
174,4
175,10
176,6
177,8
178,7
179,4
180,3
181,9
182,9
183,10
184,6
185,8
186,9
187,8
188,9
189,6
190,7
191,8
192,1
193,2
194,3
195,9
196,4
197,1
198,1
199,8
200,8
201,9
202,6
203,2
204,7
205,2
206,7
207,7
208,5
209,3
210,5
211,6
212,6
213,7
214,2
215,10
216,3
217,7
218,2
219,6
220,4
221,6
222,1
223,6
224,3
225,1
226,7
227,2
228,3
229,10
230,7
231,5
232,6
233,10
234,8
235,5
236,10
237,8
238,9
239,1
240,10
241,5
242,9
243,2
244,2
245,1
246,10
247,6
248,2
249,10
250,7
251,2
252,7
253,1
254,2
255,3
256,1
257,9
258,1
259,4
260,8
261,3
262,7
263,4
264,4
265,2
266,6
267,6
268,8
269,7
270,7
271,9
272,7
273,8
274,7
275,1
276,8
277,8
278,5
279,7
280,2
281,1
282,6
283,4
284,9
285,6
286,10
287,10
288,6
289,8
290,6
291,10
292,2
293,3
294,10
295,2
296,4
297,7
298,9
299,1
300,4
301,8
302,10
303,1
304,3
305,6
306,8
307,9
308,1
309,2
310,9
311,7
312,5
313,9
314,5
315,9
316,5
317,3
318,3
319,7
320,8
321,8
322,10
323,2
324,10
325,5
326,5
327,6
328,1
329,2
330,8
331,8
332,6
333,5
334,3
335,1
336,5
337,8
338,10
339,7
340,10
341,7
342,9
343,10
344,2
345,6
346,9
347,10
348,6
349,6
350,7
351,9
352,5
353,9
354,7
355,5
356,10
357,5
358,7
359,8
360,5
361,6
362,3
363,7
364,2
365,10
366,1
367,1
368,8
369,2
370,8
371,7
372,9
373,9
374,8
375,5
376,4
377,3
378,4
379,8
380,7
381,7
382,7
383,2
384,8
385,2
386,5
387,9
388,2
389,1
390,9
391,4
392,5
393,1
394,10
395,1
396,9
397,9
398,5
399,7
400,2
401,5
402,7
403,5
404,9
405,9
406,9
407,9
408,9
409,6
410,6
411,8
412,8
413,3
414,8
415,9
416,6
417,1
418,4
419,8
420,1
421,6
422,8
423,4
424,4
425,8
426,9
427,3
428,8
429,4
430,6
431,10
432,7
433,4
434,2
435,8
436,4
437,7
438,7
439,1
440,3
441,6
442,6
443,10
444,8
445,7
446,2
447,3
448,7
449,8
450,5
451,8
452,8
453,2
454,10
455,4
456,2
457,7
458,6
459,5
460,1
461,4
462,7
463,1
464,5
465,6
466,7
467,9
468,1
469,10
470,10
471,7
472,9
473,1
474,10
475,5
476,8
477,8
478,9
479,9
480,7
481,5
482,10
483,1
484,7
485,2
486,1
487,8
488,8
489,10
490,2
491,1
492,1
493,6
494,9
495,6
496,7
497,2
498,7
499,9
500,2
501,3
502,5
503,8
504,7
505,8
506,6
507,8
508,8
509,4
510,9
511,6
512,5
513,7
514,8
515,4
516,7
517,3
518,1
519,7
520,8
521,7
522,3
523,7
524,3
525,7
526,6
527,4
528,10
529,2
530,8
531,4
532,9
533,6
534,9
535,3
536,4
537,3
538,10
539,8
540,3
541,1
542,1
543,8
544,5
545,5
546,10
547,10
548,8
549,10
550,6
551,2
552,6
553,8
554,8
555,4
556,7
557,1
558,9
559,3
560,7
561,6
562,1
563,2
564,6
565,1
566,2
567,3
568,8
569,2
570,10
571,1
572,5
573,5
574,9
575,3
576,1
577,6
578,10
579,10
580,1
581,5
582,8
583,4
584,7
585,8
586,4
587,6
588,4
589,2
590,7
591,2
592,10
593,9
594,3
595,8
596,9
597,10
598,10
599,7
600,8
601,2
602,9
603,8
604,3
605,2
606,6
607,10
608,3
609,1
610,9
611,9
612,8
613,9
614,3
615,6
616,7
617,7
618,5
619,2
620,1
621,8
622,6
623,3
624,1
625,4
626,8
627,8
628,8
629,10
630,7
631,7
632,5
633,2
634,2
635,10
636,3
637,1
638,5
639,8
640,4
641,7
642,3
643,2
644,7
645,1
646,5
647,4
648,8
649,9
650,7
651,9
652,10
653,2
654,8
655,8
656,7
657,6
658,5
659,9
660,1
661,10
662,4
663,10
664,10
665,1
666,1
667,4
668,9
669,6
670,9
671,6
672,10
673,2
674,5
675,10
676,8
677,3
678,3
679,5
680,8
681,2
682,9
683,2
684,5
685,9
686,4
687,10
688,9
689,5
690,6
691,10
692,1
693,2
694,1
695,9
696,9
697,3
698,5
699,1
700,6
701,2
702,7
703,5
704,7
705,10
706,8
707,10
708,9
709,9
710,8
711,5
712,5
713,1
714,2
715,10
716,5
717,7
718,1
719,9
720,2
721,8
722,2
723,7
724,7
725,2
726,8
727,8
728,9
729,2
730,9
731,6
732,2
733,7
734,5
735,7
736,5
737,5
738,5
739,2
740,1
741,8
742,2
743,1
744,5
745,1
746,6
747,8
748,6
749,2
750,6
751,3
752,6
753,1
754,10
755,10
756,8
757,4
758,8
759,4
760,1
761,4
762,7
763,2
764,7
765,5
766,9
767,1
768,2
769,7
770,6
771,4
772,2
773,1
774,2
775,4
776,1
777,3
778,5
779,8
780,9
781,4
782,5
783,9
784,7
785,6
786,2
787,9
788,6
789,4
790,9
791,7
792,1
793,3
794,7
795,10
796,10
797,8
798,8
799,1
800,10
801,1
802,3
803,10
804,8
805,5
806,9
807,6
808,9
809,6
810,2
811,3
812,4
813,3
814,8
815,5
816,10
817,3
818,1
819,8
820,7
821,7
822,4
823,3
824,6
825,10
826,9
827,10
828,2
829,8
830,2
831,9
832,5
833,9
834,8
835,5
836,8
837,7
838,9
839,8
840,4
841,10
842,5
843,5
844,7
845,1
846,8
847,7
848,6
849,9
850,10
851,8
852,3
853,2
854,7
855,4
856,3
857,1
858,5
859,4
860,3
861,1
862,7
863,2
864,4
865,4
866,1
867,7
868,2
869,7
870,5
871,2
872,2
873,10
874,5
875,5
876,8
877,7
878,8
879,10
880,5
881,1
882,2
883,9
884,2
885,8
886,1
887,8
888,4
889,8
890,5
891,10
892,8
893,3
894,6
895,9
896,7
897,2
898,4
899,9
900,7
901,10
902,6
