"Id","Category"
6,"8"
8,"3"
12,"1"
14,"1"
22,"9"
25,"3"
28,"3"
29,"10"
44,"9"
45,"10"
47,"9"
54,"3"
57,"1"
72,"10"
79,"9"
81,"2"
83,"9"
88,"4"
90,"10"
102,"1"
109,"9"
117,"4"
123,"3"
133,"1"
140,"10"
149,"10"
153,"3"
163,"3"
164,"9"
172,"10"
176,"9"
181,"9"
186,"9"
192,"1"
211,"9"
218,"9"
229,"9"
234,"4"
236,"10"
258,"9"
292,"2"
294,"10"
308,"1"
322,"10"
330,"9"
337,"1"
341,"8"
342,"10"
343,"1"
349,"3"
355,"10"
361,"3"
385,"4"
386,"3"
389,"3"
393,"1"
394,"2"
395,"9"
408,"9"
415,"9"
417,"1"
420,"9"
434,"9"
439,"1"
448,"3"
454,"10"
474,"10"
483,"1"
486,"9"
493,"10"
507,"3"
510,"2"
512,"3"
522,"1"
527,"10"
528,"10"
530,"3"
532,"9"
534,"1"
554,"1"
571,"9"
572,"10"
576,"9"
587,"4"
594,"1"
603,"3"
604,"3"
609,"1"
610,"9"
620,"4"
621,"3"
629,"3"
636,"1"
637,"3"
649,"9"
665,"1"
674,"9"
685,"9"
687,"2"
694,"4"
699,"3"
707,"9"
708,"9"
709,"1"
718,"1"
726,"3"
728,"9"
730,"10"
731,"4"
735,"5"
739,"4"
740,"1"
745,"1"
749,"2"
753,"1"
754,"2"
756,"8"
761,"9"
762,"4"
770,"9"
776,"9"
789,"1"
790,"9"
798,"9"
799,"1"
801,"1"
806,"9"
808,"9"
810,"10"
814,"3"
816,"10"
820,"4"
831,"1"
840,"10"
845,"9"
846,"9"
851,"3"
855,"10"
857,"1"
859,"4"
861,"1"
866,"3"
871,"9"
881,"1"
885,"3"
886,"1"
891,"10"
897,"10"
908,"1"
917,"1"
921,"1"
922,"2"
939,"9"
953,"3"
954,"9"
964,"1"
978,"1"
980,"3"
983,"10"
984,"10"
989,"9"
991,"9"
1002,"9"
1007,"1"
1009,"1"
1018,"9"
1040,"9"
1041,"10"
1051,"1"
1053,"1"
1057,"1"
1058,"3"
1069,"9"
1074,"9"
1079,"1"
1083,"9"
1085,"1"
1086,"4"
1091,"2"
1092,"9"
1094,"10"
1095,"3"
1098,"10"
1101,"1"
1111,"2"
1113,"1"
1118,"1"
1136,"1"
1140,"9"
1150,"2"
1156,"2"
1158,"10"
1162,"2"
1175,"9"
1176,"1"
1180,"2"
1191,"9"
1195,"9"
1197,"1"
