"Id","Category"
1,"5"
2,"3"
3,"2"
4,"10"
5,"7"
6,"8"
7,"4"
8,"5"
9,"2"
10,"8"
11,"10"
12,"2"
13,"9"
14,"1"
15,"7"
16,"10"
17,"10"
18,"2"
19,"4"
20,"1"
21,"6"
22,"9"
23,"10"
24,"2"
25,"3"
26,"2"
27,"4"
28,"5"
29,"10"
30,"7"
31,"6"
32,"10"
33,"10"
34,"7"
35,"8"
36,"1"
37,"10"
38,"10"
39,"10"
40,"9"
41,"5"
42,"10"
43,"1"
44,"9"
45,"3"
46,"4"
47,"10"
48,"7"
49,"3"
50,"8"
51,"7"
52,"6"
53,"5"
54,"8"
55,"9"
56,"3"
57,"9"
58,"2"
59,"6"
60,"10"
61,"4"
62,"8"
63,"7"
64,"2"
65,"4"
66,"10"
67,"2"
68,"10"
69,"4"
70,"7"
71,"5"
72,"10"
73,"2"
74,"10"
75,"5"
76,"5"
77,"2"
78,"4"
79,"9"
80,"9"
81,"2"
82,"1"
83,"10"
84,"2"
85,"6"
86,"6"
87,"3"
88,"3"
89,"3"
90,"10"
91,"5"
92,"10"
93,"9"
94,"4"
95,"5"
96,"9"
97,"4"
98,"7"
99,"10"
100,"8"
101,"2"
102,"4"
103,"7"
104,"10"
105,"5"
106,"4"
107,"9"
108,"8"
109,"10"
110,"9"
111,"2"
112,"10"
113,"6"
114,"10"
115,"3"
116,"9"
117,"7"
118,"2"
119,"2"
120,"2"
121,"5"
122,"6"
123,"10"
124,"1"
125,"2"
126,"1"
127,"2"
128,"7"
129,"2"
130,"2"
131,"5"
132,"10"
133,"10"
134,"8"
135,"2"
136,"4"
137,"8"
138,"8"
139,"10"
140,"8"
141,"2"
142,"2"
143,"10"
144,"5"
145,"10"
146,"5"
147,"4"
148,"2"
149,"4"
150,"2"
151,"10"
152,"5"
153,"5"
154,"5"
155,"3"
156,"1"
157,"8"
158,"10"
159,"6"
160,"2"
161,"2"
162,"2"
163,"8"
164,"10"
165,"2"
166,"2"
167,"7"
168,"10"
169,"10"
170,"5"
171,"3"
172,"8"
173,"2"
174,"4"
175,"10"
176,"10"
177,"3"
178,"3"
179,"10"
180,"3"
181,"9"
182,"2"
183,"4"
184,"2"
185,"8"
186,"9"
187,"10"
188,"5"
189,"6"
190,"5"
191,"7"
192,"3"
193,"2"
194,"1"
195,"1"
196,"4"
197,"10"
198,"1"
199,"10"
200,"10"
201,"10"
202,"5"
203,"4"
204,"6"
205,"7"
206,"7"
207,"3"
208,"2"
209,"7"
210,"10"
211,"8"
212,"6"
213,"6"
214,"5"
215,"10"
216,"8"
217,"3"
218,"9"
219,"4"
220,"4"
221,"3"
222,"6"
223,"2"
224,"5"
225,"9"
226,"5"
227,"7"
228,"3"
229,"1"
230,"7"
231,"8"
