"Id","Category"
1,"4"
2,"5"
3,"10"
4,"10"
5,"7"
6,"8"
7,"4"
8,"7"
9,"10"
10,"6"
11,"9"
12,"10"
13,"8"
14,"1"
15,"7"
16,"8"
17,"6"
18,"2"
19,"10"
20,"1"
21,"4"
22,"2"
23,"10"
24,"2"
25,"6"
26,"7"
27,"10"
28,"1"
29,"10"
30,"7"
31,"7"
32,"10"
33,"1"
34,"4"
35,"6"
36,"2"
37,"7"
38,"4"
39,"7"
40,"1"
41,"5"
42,"10"
43,"1"
44,"9"
45,"4"
46,"3"
47,"10"
48,"8"
49,"7"
50,"6"
51,"6"
52,"6"
53,"5"
54,"6"
55,"4"
56,"5"
57,"5"
58,"10"
59,"3"
60,"1"
61,"5"
62,"10"
63,"5"
64,"3"
65,"5"
66,"8"
67,"2"
68,"9"
69,"10"
70,"10"
71,"6"
72,"10"
73,"5"
74,"10"
75,"3"
76,"6"
77,"8"
78,"5"
79,"9"
80,"1"
81,"8"
82,"1"
83,"10"
84,"10"
85,"6"
86,"6"
87,"5"
88,"3"
89,"5"
90,"9"
91,"3"
92,"10"
93,"9"
94,"4"
95,"3"
96,"10"
97,"4"
98,"7"
99,"10"
100,"6"
101,"2"
102,"4"
103,"7"
104,"7"
105,"7"
106,"5"
107,"2"
108,"8"
109,"9"
110,"9"
111,"6"
112,"8"
113,"6"
114,"2"
115,"5"
116,"9"
117,"4"
118,"5"
119,"10"
120,"10"
121,"5"
122,"6"
123,"7"
124,"8"
125,"7"
126,"9"
127,"3"
128,"7"
129,"2"
130,"5"
131,"8"
132,"8"
133,"10"
134,"7"
135,"8"
136,"6"
137,"8"
138,"5"
139,"9"
140,"8"
141,"1"
142,"2"
143,"4"
144,"5"
145,"4"
146,"6"
147,"4"
148,"3"
149,"10"
150,"2"
151,"5"
152,"6"
153,"3"
154,"5"
155,"3"
156,"1"
157,"8"
158,"2"
159,"4"
160,"2"
161,"2"
162,"4"
163,"3"
164,"10"
165,"9"
166,"9"
167,"7"
168,"3"
169,"8"
170,"6"
171,"5"
172,"8"
173,"6"
174,"9"
175,"10"
176,"8"
177,"8"
178,"1"
179,"4"
180,"6"
181,"2"
182,"4"
183,"7"
184,"10"
185,"8"
186,"10"
187,"9"
188,"4"
189,"5"
190,"4"
191,"8"
192,"1"
193,"10"
194,"3"
195,"1"
196,"6"
197,"9"
198,"1"
199,"8"
200,"8"
201,"1"
202,"5"
203,"10"
204,"7"
205,"6"
206,"9"
207,"3"
208,"3"
209,"4"
210,"7"
211,"5"
212,"6"
213,"6"
214,"5"
215,"10"
216,"8"
217,"7"
218,"9"
219,"7"
220,"6"
221,"3"
222,"9"
223,"4"
224,"5"
225,"9"
226,"5"
227,"6"
228,"3"
229,"10"
230,"7"
231,"8"
232,"6"
233,"7"
234,"8"
235,"7"
236,"10"
237,"5"
238,"1"
239,"1"
240,"2"
241,"5"
242,"2"
243,"6"
244,"8"
245,"1"
246,"3"
247,"8"
248,"4"
249,"2"
250,"9"
251,"5"
252,"7"
253,"3"
254,"2"
255,"3"
256,"9"
257,"9"
258,"2"
259,"4"
260,"7"
261,"4"
262,"6"
263,"4"
264,"4"
265,"2"
266,"5"
267,"8"
268,"8"
269,"5"
270,"7"
271,"8"
272,"8"
273,"5"
274,"4"
275,"1"
276,"8"
277,"6"
278,"3"
279,"10"
280,"2"
281,"8"
282,"4"
283,"3"
284,"9"
285,"5"
286,"1"
287,"2"
288,"7"
289,"3"
290,"7"
291,"9"
292,"2"
293,"7"
294,"10"
295,"4"
296,"4"
297,"3"
298,"10"
299,"5"
300,"4"
301,"3"
302,"2"
303,"1"
304,"8"
305,"3"
306,"2"
307,"1"
308,"3"
309,"8"
310,"3"
311,"6"
312,"5"
313,"1"
314,"7"
315,"2"
316,"7"
317,"7"
318,"5"
319,"3"
320,"1"
321,"1"
322,"8"
323,"5"
324,"10"
325,"3"
326,"6"
327,"5"
328,"2"
329,"10"
330,"5"
331,"8"
332,"2"
333,"2"
334,"5"
335,"3"
336,"3"
337,"5"
338,"9"
339,"10"
340,"1"
341,"6"
342,"10"
343,"1"
344,"10"
345,"6"
346,"8"
347,"10"
348,"7"
349,"6"
350,"5"
351,"1"
352,"3"
353,"7"
354,"6"
355,"4"
356,"8"
357,"5"
358,"8"
359,"3"
360,"6"
361,"1"
362,"6"
363,"10"
364,"3"
365,"10"
366,"7"
367,"9"
368,"8"
369,"6"
370,"3"
371,"7"
372,"10"
373,"2"
374,"8"
375,"5"
376,"6"
377,"5"
378,"7"
379,"10"
380,"7"
381,"6"
382,"7"
383,"2"
384,"5"
385,"4"
386,"9"
387,"3"
388,"9"
389,"3"
390,"5"
391,"8"
392,"5"
393,"1"
394,"10"
395,"9"
396,"5"
397,"1"
398,"5"
399,"7"
400,"10"
401,"4"
402,"6"
403,"3"
404,"9"
405,"1"
406,"1"
407,"2"
408,"5"
409,"4"
410,"9"
411,"8"
412,"8"
413,"4"
414,"4"
415,"9"
416,"2"
417,"9"
418,"6"
419,"5"
420,"9"
421,"5"
422,"8"
423,"6"
424,"4"
425,"7"
426,"9"
427,"5"
428,"8"
429,"4"
430,"8"
431,"2"
432,"7"
433,"8"
434,"1"
435,"8"
436,"9"
437,"2"
438,"7"
439,"5"
440,"6"
441,"6"
442,"2"
443,"10"
444,"3"
445,"7"
446,"3"
447,"6"
448,"4"
449,"8"
450,"3"
451,"2"
452,"5"
453,"3"
454,"10"
455,"9"
456,"10"
457,"4"
458,"4"
459,"2"
460,"5"
461,"5"
462,"6"
463,"9"
464,"5"
465,"4"
466,"5"
467,"4"
468,"1"
469,"10"
470,"10"
471,"5"
472,"9"
473,"1"
474,"10"
475,"8"
476,"7"
477,"2"
478,"3"
479,"9"
480,"5"
481,"3"
482,"10"
483,"3"
484,"7"
485,"2"
486,"9"
487,"6"
488,"8"
489,"5"
490,"8"
491,"6"
492,"1"
493,"10"
494,"1"
495,"5"
496,"5"
497,"9"
498,"7"
499,"1"
500,"2"
501,"3"
502,"5"
503,"2"
504,"6"
505,"4"
506,"6"
507,"3"
508,"7"
509,"4"
510,"10"
511,"8"
512,"3"
513,"7"
514,"5"
515,"4"
516,"6"
517,"7"
518,"5"
519,"10"
520,"3"
