"Id","Category"
1,"6"
2,"5"
3,"10"
4,"10"
5,"7"
6,"8"
7,"6"
8,"6"
9,"10"
10,"7"
11,"8"
12,"1"
13,"8"
14,"1"
15,"7"
16,"8"
17,"6"
18,"2"
19,"10"
20,"1"
21,"4"
22,"9"
23,"10"
24,"2"
25,"5"
26,"7"
27,"10"
28,"1"
29,"10"
30,"7"
31,"6"
32,"2"
33,"1"
34,"4"
35,"6"
36,"2"
37,"3"
38,"4"
39,"7"
40,"1"
41,"5"
42,"10"
43,"1"
44,"8"
45,"4"
46,"2"
47,"9"
48,"8"
49,"7"
50,"6"
51,"4"
52,"6"
53,"5"
54,"8"
55,"4"
56,"5"
57,"1"
58,"9"
59,"3"
60,"2"
61,"5"
62,"4"
63,"5"
64,"8"
65,"5"
66,"8"
67,"2"
68,"8"
69,"2"
70,"7"
71,"6"
72,"10"
73,"5"
74,"10"
75,"4"
76,"5"
77,"7"
78,"4"
79,"8"
80,"9"
81,"10"
82,"1"
83,"10"
84,"10"
85,"6"
86,"6"
87,"5"
88,"5"
89,"5"
90,"8"
91,"3"
92,"2"
93,"8"
94,"7"
95,"3"
96,"10"
97,"4"
98,"7"
99,"8"
100,"6"
101,"2"
102,"4"
103,"7"
104,"7"
105,"7"
106,"5"
107,"8"
108,"8"
109,"8"
110,"8"
111,"6"
112,"8"
113,"6"
114,"2"
115,"5"
116,"8"
117,"4"
118,"5"
119,"2"
120,"10"
121,"5"
122,"6"
123,"7"
124,"10"
125,"8"
126,"9"
127,"6"
128,"7"
129,"2"
130,"5"
131,"1"
132,"8"
133,"10"
134,"7"
135,"8"
136,"6"
137,"8"
138,"5"
139,"8"
140,"8"
141,"1"
142,"2"
143,"4"
144,"5"
145,"4"
146,"4"
147,"4"
148,"6"
149,"10"
150,"2"
151,"5"
152,"4"
153,"5"
154,"4"
155,"9"
156,"1"
157,"8"
158,"10"
159,"4"
160,"2"
161,"2"
162,"5"
163,"2"
164,"10"
165,"2"
166,"8"
167,"7"
168,"4"
169,"8"
170,"6"
171,"5"
172,"8"
173,"6"
174,"9"
175,"10"
176,"9"
177,"5"
178,"1"
179,"4"
180,"6"
181,"2"
182,"2"
183,"7"
184,"6"
185,"8"
186,"8"
187,"8"
188,"8"
189,"5"
190,"3"
191,"6"
192,"1"
193,"10"
194,"3"
195,"1"
196,"6"
197,"10"
198,"1"
199,"10"
200,"8"
201,"1"
202,"5"
203,"2"
204,"7"
205,"10"
206,"7"
207,"3"
208,"9"
209,"5"
210,"7"
211,"6"
212,"6"
213,"6"
214,"5"
215,"10"
216,"7"
217,"7"
218,"8"
219,"7"
220,"4"
221,"7"
222,"3"
223,"6"
224,"2"
225,"8"
226,"5"
227,"6"
228,"8"
229,"10"
230,"7"
231,"8"
232,"6"
233,"7"
234,"8"
235,"7"
236,"10"
237,"5"
238,"1"
239,"1"
240,"2"
241,"9"
242,"2"
243,"6"
244,"8"
245,"8"
246,"3"
247,"8"
248,"2"
249,"2"
250,"5"
251,"8"
252,"7"
253,"10"
254,"2"
255,"3"
256,"8"
257,"8"
258,"1"
259,"4"
260,"7"
261,"5"
262,"7"
263,"4"
264,"9"
265,"2"
266,"5"
267,"8"
268,"8"
269,"4"
270,"7"
271,"4"
272,"8"
273,"5"
274,"3"
275,"1"
276,"7"
277,"6"
278,"4"
279,"10"
280,"2"
281,"8"
282,"3"
283,"3"
284,"8"
285,"3"
286,"1"
287,"2"
288,"7"
289,"3"
290,"7"
291,"2"
292,"2"
293,"2"
294,"10"
295,"3"
296,"4"
297,"3"
298,"10"
299,"1"
300,"4"
301,"3"
302,"2"
303,"1"
304,"8"
305,"2"
306,"2"
307,"8"
308,"3"
309,"8"
310,"3"
311,"6"
312,"5"
313,"1"
314,"7"
315,"2"
316,"6"
317,"7"
318,"5"
319,"3"
320,"1"
321,"1"
322,"10"
323,"8"
324,"10"
325,"3"
326,"6"
327,"6"
328,"2"
329,"9"
330,"5"
331,"8"
332,"2"
333,"3"
334,"9"
335,"3"
336,"3"
337,"5"
338,"2"
339,"10"
340,"1"
341,"7"
342,"2"
343,"1"
344,"10"
345,"6"
346,"8"
347,"10"
348,"7"
349,"4"
350,"5"
351,"2"
352,"3"
353,"9"
354,"7"
355,"6"
356,"9"
357,"7"
358,"8"
359,"10"
360,"6"
361,"1"
362,"6"
363,"10"
364,"3"
365,"10"
366,"2"
367,"8"
368,"8"
369,"6"
370,"3"
371,"7"
372,"2"
373,"2"
374,"8"
375,"5"
376,"6"
377,"7"
378,"7"
379,"2"
380,"7"
381,"7"
382,"3"
383,"2"
384,"6"
385,"4"
386,"5"
387,"3"
388,"9"
389,"3"
390,"4"
391,"7"
392,"5"
393,"1"
394,"1"
395,"8"
396,"4"
397,"1"
398,"6"
399,"7"
400,"9"
401,"4"
402,"6"
