"Id","Category"
1,"7"
2,"5"
3,"10"
4,"10"
5,"7"
6,"8"
7,"6"
8,"10"
9,"10"
10,"4"
11,"9"
12,"2"
13,"8"
14,"1"
15,"7"
16,"2"
17,"4"
18,"2"
19,"8"
20,"1"
21,"8"
22,"2"
23,"10"
24,"2"
25,"8"
26,"10"
27,"10"
28,"9"
29,"7"
30,"7"
31,"7"
32,"2"
33,"1"
34,"4"
35,"6"
36,"2"
37,"2"
38,"10"
39,"7"
40,"1"
41,"5"
42,"10"
43,"1"
44,"9"
45,"4"
46,"3"
47,"10"
48,"4"
49,"7"
50,"6"
51,"6"
52,"6"
53,"5"
54,"8"
55,"2"
56,"3"
57,"1"
58,"4"
59,"1"
60,"2"
61,"7"
62,"8"
63,"5"
64,"9"
65,"8"
66,"8"
67,"2"
68,"9"
69,"2"
70,"7"
71,"6"
72,"10"
73,"5"
74,"10"
75,"8"
76,"4"
77,"2"
78,"6"
79,"1"
80,"1"
81,"2"
82,"1"
83,"10"
84,"10"
85,"6"
86,"6"
87,"5"
88,"3"
89,"5"
90,"9"
91,"7"
92,"2"
93,"9"
94,"6"
95,"3"
96,"10"
97,"6"
98,"7"
99,"10"
100,"6"
101,"2"
102,"7"
103,"7"
104,"7"
105,"7"
106,"5"
107,"4"
108,"8"
109,"9"
110,"9"
111,"8"
112,"7"
113,"6"
114,"10"
115,"5"
116,"9"
117,"4"
118,"8"
119,"8"
120,"10"
121,"3"
122,"6"
123,"7"
124,"1"
125,"8"
126,"9"
127,"6"
128,"7"
129,"2"
130,"8"
131,"5"
132,"2"
133,"10"
134,"5"
135,"8"
136,"6"
137,"7"
138,"8"
139,"9"
140,"10"
141,"6"
142,"2"
143,"6"
144,"5"
145,"6"
146,"4"
147,"4"
148,"4"
149,"10"
150,"2"
151,"8"
152,"6"
153,"3"
154,"5"
155,"3"
156,"1"
157,"8"
158,"10"
159,"6"
160,"7"
161,"2"
162,"8"
163,"3"
164,"10"
165,"2"
166,"2"
167,"7"
168,"2"
169,"2"
170,"4"
171,"3"
172,"8"
173,"4"
174,"2"
175,"10"
176,"8"
177,"5"
178,"3"
179,"4"
180,"6"
181,"9"
182,"10"
183,"7"
184,"6"
185,"8"
186,"9"
187,"9"
188,"9"
189,"4"
190,"7"
191,"8"
192,"1"
193,"2"
194,"3"
195,"1"
196,"6"
197,"10"
198,"1"
199,"10"
200,"7"
201,"1"
202,"8"
203,"2"
204,"7"
205,"10"
206,"7"
207,"7"
208,"4"
209,"7"
210,"7"
211,"6"
212,"6"
213,"6"
214,"3"
215,"10"
216,"5"
217,"7"
218,"9"
219,"7"
220,"4"
221,"7"
222,"1"
223,"6"
224,"5"
225,"9"
226,"5"
227,"6"
228,"9"
229,"10"
230,"5"
231,"8"
232,"6"
233,"10"
234,"8"
235,"7"
236,"10"
237,"5"
238,"9"
239,"1"
240,"2"
241,"8"
242,"9"
243,"6"
244,"8"
245,"9"
246,"4"
247,"6"
248,"2"
249,"10"
250,"3"
251,"9"
252,"7"
253,"2"
254,"10"
255,"3"
256,"1"
257,"9"
258,"9"
259,"4"
260,"3"
261,"4"
262,"7"
263,"4"
264,"4"
265,"2"
266,"5"
267,"8"
268,"8"
269,"3"
270,"7"
271,"4"
272,"8"
273,"7"
274,"5"
275,"10"
276,"5"
277,"8"
278,"6"
279,"6"
280,"2"
281,"10"
282,"3"
283,"1"
284,"1"
285,"3"
286,"1"
287,"2"
288,"7"
289,"7"
290,"7"
291,"2"
292,"10"
293,"2"
294,"10"
295,"2"
296,"6"
297,"3"
298,"10"
299,"1"
300,"6"
301,"8"
302,"2"
303,"1"
304,"5"
305,"7"
306,"2"
307,"9"
308,"1"
309,"2"
310,"2"
311,"6"
312,"5"
313,"1"
314,"7"
315,"2"
316,"7"
317,"10"
318,"5"
319,"3"
320,"1"
321,"1"
322,"8"
323,"9"
324,"10"
325,"3"
326,"6"
327,"6"
328,"2"
329,"2"
330,"8"
331,"8"
332,"6"
333,"5"
334,"9"
335,"9"
336,"3"
337,"8"
338,"2"
339,"6"
340,"9"
341,"8"
342,"10"
343,"9"
344,"10"
345,"6"
346,"2"
347,"10"
348,"7"
349,"6"
350,"5"
351,"2"
352,"3"
353,"4"
354,"7"
355,"6"
356,"4"
357,"5"
358,"8"
359,"10"
360,"5"
361,"8"
362,"7"
363,"7"
364,"10"
365,"10"
366,"1"
367,"9"
368,"8"
369,"3"
370,"7"
371,"7"
372,"10"
373,"2"
374,"8"
375,"5"
376,"6"
377,"5"
378,"7"
379,"2"
380,"7"
381,"6"
382,"7"
383,"2"
384,"8"
385,"6"
386,"7"
387,"2"
388,"2"
389,"8"
390,"9"
391,"7"
392,"8"
393,"1"
394,"2"
395,"9"
396,"4"
397,"9"
398,"6"
399,"7"
400,"4"
401,"6"
402,"6"
403,"5"
404,"9"
405,"1"
406,"1"
407,"6"
408,"1"
409,"4"
410,"9"
411,"7"
412,"8"
413,"4"
414,"4"
415,"9"
416,"2"
417,"9"
418,"6"
419,"5"
420,"9"
421,"4"
422,"10"
423,"6"
424,"6"
425,"4"
426,"9"
