"Id","Category"
1,"7"
2,"5"
3,"10"
4,"10"
5,"7"
6,"8"
7,"6"
8,"7"
9,"10"
10,"9"
11,"3"
12,"1"
13,"3"
14,"1"
15,"7"
16,"8"
17,"4"
18,"10"
19,"8"
20,"1"
21,"7"
22,"9"
23,"10"
24,"2"
25,"4"
26,"10"
27,"10"
28,"3"
29,"10"
30,"7"
31,"6"
32,"10"
33,"1"
34,"6"
35,"4"
36,"2"
37,"2"
38,"10"
39,"7"
40,"9"
41,"5"
42,"10"
43,"1"
44,"9"
45,"10"
46,"4"
47,"10"
48,"8"
49,"7"
50,"6"
51,"6"
52,"6"
53,"5"
54,"8"
55,"9"
56,"3"
57,"1"
58,"4"
59,"1"
60,"9"
61,"7"
62,"4"
63,"7"
64,"9"
65,"5"
66,"8"
67,"3"
68,"9"
69,"2"
70,"7"
71,"6"
72,"10"
73,"2"
74,"10"
75,"3"
76,"6"
77,"2"
78,"6"
79,"9"
80,"1"
81,"2"
82,"1"
83,"9"
84,"2"
85,"6"
86,"6"
87,"5"
88,"4"
89,"5"
90,"2"
91,"5"
92,"9"
93,"9"
94,"4"
95,"7"
96,"10"
97,"6"
98,"7"
99,"10"
100,"6"
101,"2"
102,"4"
103,"7"
104,"7"
105,"5"
106,"5"
107,"6"
108,"5"
109,"9"
110,"9"
111,"6"
112,"8"
113,"6"
114,"10"
115,"5"
116,"9"
117,"4"
118,"5"
119,"2"
120,"10"
121,"3"
122,"4"
123,"3"
124,"1"
125,"8"
126,"9"
127,"6"
128,"7"
129,"2"
130,"5"
131,"8"
132,"5"
133,"10"
134,"5"
135,"8"
136,"7"
137,"5"
138,"8"
139,"9"
140,"10"
141,"6"
142,"2"
143,"4"
144,"7"
145,"6"
146,"7"
147,"6"
148,"4"
149,"10"
150,"2"
151,"1"
152,"6"
153,"3"
154,"5"
155,"8"
156,"1"
157,"8"
158,"10"
159,"6"
160,"2"
161,"10"
162,"3"
163,"3"
164,"9"
165,"2"
166,"2"
167,"7"
168,"3"
169,"2"
170,"5"
171,"5"
172,"8"
173,"4"
174,"4"
175,"10"
176,"8"
177,"5"
178,"3"
179,"4"
180,"3"
181,"9"
182,"9"
183,"7"
184,"6"
185,"8"
186,"9"
187,"10"
188,"9"
189,"5"
190,"7"
191,"8"
192,"1"
193,"2"
194,"3"
195,"1"
196,"7"
197,"4"
198,"1"
199,"10"
200,"7"
201,"10"
202,"3"
203,"2"
204,"7"
205,"4"
206,"5"
207,"7"
208,"6"
209,"7"
210,"5"
211,"3"
212,"6"
213,"7"
214,"5"
215,"10"
216,"3"
217,"7"
218,"9"
219,"7"
220,"4"
221,"6"
222,"9"
223,"6"
224,"5"
225,"10"
226,"3"
227,"6"
228,"9"
229,"10"
230,"7"
231,"8"
232,"5"
233,"10"
234,"8"
235,"5"
236,"10"
237,"5"
238,"9"
239,"1"
240,"10"
241,"10"
242,"10"
243,"6"
244,"2"
245,"9"
246,"10"
247,"2"
248,"8"
249,"9"
250,"1"
251,"9"
252,"7"
253,"2"
254,"10"
255,"3"
256,"9"
257,"9"
258,"10"
259,"6"
260,"7"
261,"7"
262,"7"
263,"5"
264,"4"
265,"2"
266,"5"
267,"6"
268,"8"
269,"4"
270,"6"
271,"9"
272,"6"
273,"6"
274,"3"
275,"9"
276,"5"
277,"6"
278,"6"
279,"6"
280,"2"
281,"8"
282,"3"
283,"4"
284,"9"
285,"5"
286,"3"
287,"2"
288,"7"
289,"7"
290,"7"
291,"2"
292,"2"
293,"6"
294,"10"
295,"2"
296,"4"
297,"7"
298,"10"
299,"1"
300,"6"
301,"5"
302,"10"
303,"9"
304,"8"
305,"7"
306,"2"
307,"9"
308,"1"
309,"2"
310,"9"
311,"6"
312,"5"
313,"1"
314,"7"
315,"2"
316,"5"
317,"5"
318,"3"
319,"5"
320,"8"
321,"5"
322,"10"
323,"2"
324,"10"
325,"2"
326,"6"
327,"6"
328,"2"
329,"2"
330,"8"
331,"8"
332,"5"
333,"3"
334,"4"
335,"9"
336,"7"
337,"1"
338,"2"
339,"6"
340,"9"
341,"8"
342,"10"
343,"8"
344,"10"
345,"8"
346,"2"
347,"10"
348,"5"
349,"4"
350,"5"
351,"2"
352,"3"
353,"10"
354,"7"
355,"6"
356,"8"
357,"5"
358,"8"
359,"10"
360,"3"
361,"8"
362,"2"
363,"2"
364,"10"
365,"10"
366,"9"
367,"9"
368,"8"
369,"5"
370,"5"
371,"7"
372,"4"
373,"2"
374,"8"
375,"5"
376,"2"
377,"3"
378,"7"
379,"10"
380,"7"
381,"7"
382,"7"
383,"2"
384,"8"
385,"6"
386,"3"
387,"2"
388,"8"
389,"3"
390,"6"
391,"8"
392,"5"
393,"1"
394,"2"
395,"9"
396,"7"
397,"9"
398,"8"
399,"7"
400,"10"
401,"6"
402,"7"
403,"5"
404,"9"
405,"1"
406,"1"
407,"9"
408,"1"
409,"4"
410,"9"
411,"5"
412,"5"
413,"4"
414,"4"
415,"9"
416,"2"
417,"1"
418,"4"
419,"5"
420,"9"
421,"6"
422,"10"
423,"6"
424,"6"
425,"7"
426,"9"
