"Id","Category"
1,"1"
2,"10"
3,"5"
4,"7"
5,"5"
6,"10"
7,"6"
8,"1"
9,"1"
10,"2"
11,"6"
12,"8"
13,"3"
14,"7"
15,"10"
16,"10"
17,"1"
18,"2"
19,"8"
20,"7"
21,"8"
22,"10"
23,"7"
24,"10"
25,"2"
26,"9"
27,"5"
28,"9"
29,"5"
30,"3"
31,"2"
32,"7"
33,"8"
34,"10"
35,"7"
36,"8"
37,"1"
38,"5"
39,"9"
40,"9"
41,"7"
42,"3"
43,"2"
44,"10"
45,"8"
46,"9"
47,"4"
48,"6"
49,"8"
50,"5"
51,"9"
52,"7"
53,"9"
54,"7"
55,"7"
56,"1"
57,"1"
58,"6"
59,"4"
60,"1"
61,"1"
62,"7"
63,"3"
64,"6"
65,"9"
66,"6"
67,"7"
68,"3"
69,"7"
70,"2"
71,"10"
72,"2"
73,"6"
74,"8"
75,"7"
76,"7"
77,"5"
78,"2"
79,"7"
80,"10"
81,"2"
82,"9"
83,"5"
84,"6"
85,"7"
86,"10"
87,"10"
88,"9"
89,"7"
90,"7"
91,"8"
92,"5"
93,"7"
94,"4"
95,"10"
96,"10"
97,"7"
98,"6"
99,"9"
100,"8"
101,"6"
102,"10"
103,"3"
104,"6"
105,"6"
106,"5"
107,"1"
108,"10"
109,"2"
110,"10"
111,"7"
112,"1"
113,"2"
114,"9"
115,"9"
116,"1"
117,"8"
118,"7"
119,"6"
120,"8"
121,"7"
122,"6"
123,"7"
124,"5"
125,"1"
126,"2"
127,"5"
128,"2"
129,"6"
130,"9"
131,"4"
132,"7"
133,"6"
134,"7"
135,"7"
136,"6"
137,"9"
138,"7"
139,"9"
140,"6"
141,"1"
142,"5"
143,"9"
144,"4"
145,"9"
146,"5"
147,"8"
148,"10"
149,"6"
150,"4"
151,"7"
152,"7"
153,"6"
154,"9"
155,"3"
156,"2"
157,"7"
158,"8"
159,"7"
160,"2"
161,"5"
162,"9"
163,"9"
164,"7"
165,"1"
166,"5"
167,"10"
168,"6"
169,"10"
170,"8"
171,"10"
172,"6"
173,"8"
174,"8"
175,"8"
176,"7"
177,"9"
178,"10"
179,"5"
180,"7"
181,"9"
182,"4"
183,"9"
184,"7"
185,"6"
186,"10"
187,"5"
188,"4"
189,"7"
190,"10"
191,"7"
192,"9"
193,"6"
194,"9"
195,"2"
196,"8"
197,"5"
198,"4"
199,"6"
200,"7"
201,"5"
202,"10"
203,"6"
204,"10"
205,"7"
206,"6"
207,"8"
208,"7"
209,"7"
210,"4"
211,"6"
212,"4"
213,"7"
214,"9"
215,"6"
216,"7"
217,"7"
218,"6"
219,"3"
220,"3"
221,"5"
222,"7"
223,"6"
224,"7"
225,"8"
226,"10"
227,"6"
228,"6"
229,"7"
230,"2"
231,"8"
232,"6"
233,"9"
234,"4"
235,"1"
236,"9"
237,"5"
238,"9"
239,"5"
240,"10"
241,"10"
242,"9"
243,"9"
244,"7"
245,"1"
246,"3"
247,"7"
248,"2"
249,"7"
250,"7"
251,"9"
252,"2"
253,"8"
254,"9"
255,"9"
256,"7"
257,"9"
258,"8"
259,"9"
260,"6"
261,"7"
262,"2"
263,"9"
264,"4"
265,"7"
266,"6"
267,"1"
268,"7"
269,"5"
270,"2"
271,"2"
272,"4"
273,"10"
274,"8"
275,"9"
276,"7"
277,"1"
278,"10"
279,"9"
280,"10"
281,"5"
282,"10"
283,"9"
284,"6"
285,"2"
286,"2"
287,"10"
288,"9"
289,"6"
290,"7"
291,"9"
292,"6"
293,"9"
294,"6"
295,"9"
296,"7"
297,"7"
298,"7"
299,"6"
300,"10"
301,"6"
302,"5"
303,"1"
304,"7"
305,"9"
306,"8"
307,"10"
308,"7"
309,"7"
310,"10"
311,"1"
312,"6"
313,"2"
314,"6"
315,"6"
316,"7"
317,"3"
318,"6"
319,"1"
320,"1"
321,"10"
322,"8"
323,"2"
324,"6"
325,"7"
326,"8"
327,"6"
328,"10"
329,"1"
330,"5"
331,"6"
332,"7"
333,"9"
334,"7"
335,"9"
336,"7"
337,"7"
338,"10"
339,"5"
340,"1"
341,"5"
342,"1"
343,"2"
344,"9"
345,"6"
346,"6"
347,"7"
348,"7"
349,"6"
