Id,Category
1,1
2,10
3,4
4,7
5,6
6,7
7,3
8,1
9,1
10,2
11,4
12,8
13,1
14,7
15,2
16,8
17,5
18,2
19,8
20,7
21,8
22,10
23,3
24,10
25,2
26,1
27,9
28,3
29,5
30,3
31,2
32,5
33,8
34,10
35,5
36,5
37,9
38,3
39,9
40,9
41,1
42,3
43,2
44,9
45,8
46,9
47,4
48,7
49,8
50,5
51,10
52,7
53,9
54,7
55,8
56,8
57,8
58,6
59,6
60,1
61,1
62,7
63,6
64,4
65,5
66,8
67,6
68,1
69,5
70,2
71,10
72,9
73,4
74,8
75,7
76,7
77,7
78,1
79,3
80,8
81,1
82,3
83,3
84,6
85,9
86,10
87,10
88,1
89,5
90,4
91,8
92,8
93,7
94,3
95,10
96,10
97,7
98,4
99,1
100,4
101,6
102,10
103,3
104,4
105,6
106,3
107,10
108,10
109,10
110,10
111,3
112,9
113,2
114,3
115,1
116,1
117,3
118,7
119,4
120,2
121,4
122,5
123,5
124,8
125,1
126,2
127,5
128,2
129,6
130,4
131,8
132,8
133,4
134,7
135,7
136,6
137,1
138,3
139,2
140,2
141,1
142,3
143,5
144,3
145,9
146,3
147,8
148,4
149,6
150,4
151,7
152,3
153,4
154,9
155,3
156,2
157,7
158,3
159,7
160,6
161,8
162,9
163,9
164,4
165,1
166,3
167,6
168,1
169,6
170,10
171,10
172,6
173,8
174,6
175,8
176,8
177,9
178,10
179,1
180,5
181,3
182,6
183,1
184,6
185,1
186,2
187,6
188,6
189,3
190,2
191,3
192,9
193,6
194,9
195,2
196,6
197,5
198,4
199,6
200,6
201,8
202,5
203,6
204,10
205,6
206,6
207,8
208,7
209,2
210,7
211,4
212,4
213,5
214,1
215,4
216,7
217,7
218,2
219,5
220,6
221,7
222,4
223,4
224,6
225,8
226,3
227,8
228,6
229,7
230,10
231,8
232,6
233,9
234,8
235,1
236,9
237,7
238,10
239,3
240,10
241,2
242,1
243,9
244,5
245,1
246,3
247,7
248,10
249,7
250,7
251,9
252,2
253,4
254,9
255,7
256,7
257,3
258,1
259,9
260,6
261,5
262,2
263,9
264,8
265,6
266,6
267,1
268,7
269,7
270,2
271,2
272,9
273,10
274,7
275,9
276,3
277,1
278,9
279,2
280,4
281,2
282,1
283,2
284,6
285,2
286,8
287,2
288,9
289,6
290,7
291,9
292,4
293,9
294,8
295,1
296,4
297,3
298,7
299,7
300,10
301,6
302,4
303,3
304,5
305,9
306,10
307,2
308,7
309,7
310,9
311,1
312,6
313,2
314,8
315,6
316,7
317,7
318,6
319,1
320,1
321,10
322,6
323,2
324,3
325,7
326,6
327,8
328,10
329,7
330,5
331,4
332,9
333,9
334,5
335,9
336,5
337,5
338,8
339,5
340,1
341,5
342,1
343,2
344,1
345,6
346,6
347,1
348,6
349,3
350,3
351,3
352,4
353,5
354,4
355,4
356,4
357,9
358,3
359,5
360,8
361,10
362,8
363,5
364,9
365,1
366,9
367,5
368,3
369,4
370,8
371,7
372,5
373,5
374,7
375,5
376,9
377,1
378,2
379,6
380,7
381,9
382,5
383,4
384,4
385,7
386,2
387,5
388,4
389,1
390,5
391,2
392,3
393,6
394,1
395,9
396,8
397,1
398,4
399,4
400,7
401,10
402,5
403,6
404,1
405,7
406,7
407,4
408,3
409,7
410,3
411,1
412,5
413,6
414,5
415,7
416,7
417,7
418,3
419,10
420,8
421,5
422,4
423,10
424,5
425,6
426,8
427,8
428,8
429,7
430,7
431,2
432,1
433,8
434,4
435,7
436,10
437,10
438,5
439,6
440,2
441,7
442,9
443,3
444,3
445,9
446,2
447,8
448,6
449,9
450,5
451,1
452,3
453,2
454,6
455,9
456,2
457,7
458,2
459,10
460,4
461,4
462,6
463,10
464,4
465,8
466,4
467,9
468,1
469,2
470,5
471,10
472,6
473,1
474,10
475,8
476,8
477,10
478,6
479,2
480,10
481,6
482,3
483,7
484,10
485,5
486,7
487,7
488,3
489,8
490,10
491,9
492,4
493,7
494,7
495,3
496,8
497,4
498,7
499,6
500,4
501,2
502,9
503,8
504,1
505,2
506,8
507,7
508,3
509,6
510,1
511,6
512,2
513,2
514,8
515,2
516,7
517,8
518,8
519,8
520,2
521,4
522,10
523,9
524,9
525,8
